"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","European Union - 27 countries (2007-2013)","1989","Total","Number","468.949.690"
"Total","European Union - 27 countries (2007-2013)","1989","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1989","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1990","Total","Number","470.415.155"
"Total","European Union - 27 countries (2007-2013)","1990","Males","Number","228.826.266"
"Total","European Union - 27 countries (2007-2013)","1990","Females","Number","241.588.889"
"Total","European Union - 27 countries (2007-2013)","1991","Total","Number","472.060.056"
"Total","European Union - 27 countries (2007-2013)","1991","Males","Number","229.681.715"
"Total","European Union - 27 countries (2007-2013)","1991","Females","Number","242.378.341"
"Total","European Union - 27 countries (2007-2013)","1992","Total","Number","473.329.265"
"Total","European Union - 27 countries (2007-2013)","1992","Males","Number","230.325.615"
"Total","European Union - 27 countries (2007-2013)","1992","Females","Number","243.003.650"
"Total","European Union - 27 countries (2007-2013)","1993","Total","Number","475.006.017"
"Total","European Union - 27 countries (2007-2013)","1993","Males","Number","231.231.984"
"Total","European Union - 27 countries (2007-2013)","1993","Females","Number","243.774.033"
"Total","European Union - 27 countries (2007-2013)","1994","Total","Number","476.247.848"
"Total","European Union - 27 countries (2007-2013)","1994","Males","Number","231.844.773"
"Total","European Union - 27 countries (2007-2013)","1994","Females","Number","244.403.075"
"Total","European Union - 27 countries (2007-2013)","1995","Total","Number","477.245.113"
"Total","European Union - 27 countries (2007-2013)","1995","Males","Number","232.322.152"
"Total","European Union - 27 countries (2007-2013)","1995","Females","Number","244.922.961"
"Total","European Union - 27 countries (2007-2013)","1996","Total","Number","478.155.218"
"Total","European Union - 27 countries (2007-2013)","1996","Males","Number","232.783.989"
"Total","European Union - 27 countries (2007-2013)","1996","Females","Number","245.371.229"
"Total","European Union - 27 countries (2007-2013)","1997","Total","Number","478.979.775"
"Total","European Union - 27 countries (2007-2013)","1997","Males","Number","233.198.199"
"Total","European Union - 27 countries (2007-2013)","1997","Females","Number","245.781.576"
"Total","European Union - 27 countries (2007-2013)","1998","Total","Number","481.340.746"
"Total","European Union - 27 countries (2007-2013)","1998","Males","Number","234.340.808"
"Total","European Union - 27 countries (2007-2013)","1998","Females","Number","246.999.938"
"Total","European Union - 27 countries (2007-2013)","1999","Total","Number","482.050.494"
"Total","European Union - 27 countries (2007-2013)","1999","Males","Number","234.687.971"
"Total","European Union - 27 countries (2007-2013)","1999","Females","Number","247.362.523"
"Total","European Union - 27 countries (2007-2013)","2000","Total","Number","482.761.345"
