"";"Drzava";"Leto";"BDP.E"
"673";"North Macedonia";2003;4385,9
"674";"North Macedonia";2004;4577,7
"675";"North Macedonia";2005;5032
"676";"North Macedonia";2006;5472,2
"677";"North Macedonia";2007;6094,5
"678";"North Macedonia";2008;6772,1
"679";"North Macedonia";2009;6766,5
"680";"North Macedonia";2010;7108,3
"681";"North Macedonia";2011;7544,2
"682";"North Macedonia";2012;7584,8
"683";"North Macedonia";2013;8149,6
"684";"North Macedonia";2014;8562
"685";"North Macedonia";2015;9072,3
"686";"North Macedonia";2016;9656,5
"687";"North Macedonia";2017;10013,9
"688";"North Macedonia";2018;10734,7
"689";"Albania";1999;3018,5
"690";"Albania";2000;3780,4
"691";"Albania";2001;4385,8
"692";"Albania";2002;4612,4
"693";"Albania";2003;4928,6
"694";"Albania";2004;5777,8
"695";"Albania";2005;6475,3
"696";"Albania";2006;7090,8
"697";"Albania";2007;7809,8
"698";"Albania";2008;8800,3
"699";"Albania";2009;8662,2
"700";"Albania";2010;8996,6
"701";"Albania";2011;9268,3
"702";"Albania";2012;9585,8
"703";"Albania";2013;9625,4
"704";"Albania";2014;9968,6
"705";"Albania";2015;10264,1
"706";"Albania";2016;10719,9
"707";"Albania";2017;11563,8
"708";"Albania";2018;12745,5
"709";"Serbia";2002;18165,8
"710";"Serbia";2003;19882
"711";"Serbia";2004;20995
"712";"Serbia";2005;22253,8
"713";"Serbia";2006;25930,7
"714";"Serbia";2007;31557,9
"715";"Serbia";2008;35712,5
"716";"Serbia";2009;32486,2
"717";"Serbia";2010;31545,8
"718";"Serbia";2011;35431,7
"719";"Serbia";2012;33679,3
"720";"Serbia";2013;36426,7
"721";"Serbia";2014;35467,5
"722";"Serbia";2015;35715,5
"723";"Serbia";2016;36723
"724";"Serbia";2017;39183,3
"725";"Serbia";2018;42855,5
"726";"Turkey";1998;244783,4
"727";"Turkey";1999;239634
"728";"Turkey";2000;296915
"729";"Turkey";2001;222631,3
"730";"Turkey";2002;249606,8
"731";"Turkey";2003;276131,4
"732";"Turkey";2004;324699,5
"733";"Turkey";2005;401707,1
"734";"Turkey";2006;436278,4
"735";"Turkey";2007;492841,2
"736";"Turkey";2008;521812,2
"737";"Turkey";2009;461925,9
"738";"Turkey";2010;581023,8
"739";"Turkey";2011;596491,2
"740";"Turkey";2012;678483,7
"741";"Turkey";2013;714313,4
"742";"Turkey";2014;703411,6
"743";"Turkey";2015;772978,8
"744";"Turkey";2016;780224,9
"745";"Turkey";2017;754902,2
"746";"Turkey";2018;652519,9
"747";"Bosnia and Herzegovina";2008;13047,8
"748";"Bosnia and Herzegovina";2009;12679,3
"749";"Bosnia and Herzegovina";2010;12968,9
"750";"Bosnia and Herzegovina";2011;13411,8
"751";"Bosnia and Herzegovina";2012;13407,5
"752";"Bosnia and Herzegovina";2013;13691,8
"753";"Bosnia and Herzegovina";2014;13988,3
"754";"Bosnia and Herzegovina";2015;14617,4
"755";"Bosnia and Herzegovina";2016;15289,9
"756";"Bosnia and Herzegovina";2017;16042,4
"757";"Bosnia and Herzegovina";2018;16759,3
"758";"Kosovo (under United Nations Security Council Resolution 1244/99)";2008;3882,7
"759";"Kosovo (under United Nations Security Council Resolution 1244/99)";2009;4069,6
"760";"Kosovo (under United Nations Security Council Resolution 1244/99)";2010;4401,9
"761";"Kosovo (under United Nations Security Council Resolution 1244/99)";2011;4814
"762";"Kosovo (under United Nations Security Council Resolution 1244/99)";2012;5058,9
"763";"Kosovo (under United Nations Security Council Resolution 1244/99)";2013;5326,6
"764";"Kosovo (under United Nations Security Council Resolution 1244/99)";2014;5567,5
"765";"Kosovo (under United Nations Security Council Resolution 1244/99)";2015;5807,5
"766";"Kosovo (under United Nations Security Council Resolution 1244/99)";2016;6070,1
"767";"Kosovo (under United Nations Security Council Resolution 1244/99)";2017;6413,8
"768";"Kosovo (under United Nations Security Council Resolution 1244/99)";2018;6725,9
